distance_penalty_coef,loop_penalty,final_reward_mean
0.0,0.0,15.056658724844793
0.0052631578947368,0.0526315789473684,15.056658724844793
0.0105263157894736,0.1052631578947368,15.056658724844793
0.0157894736842105,0.1578947368421052,15.056658724844793
0.0210526315789473,0.2105263157894736,15.056658724844793
0.0263157894736842,0.2631578947368421,15.056658724844793
0.031578947368421,0.3157894736842105,15.056658724844793
0.0368421052631578,0.3684210526315789,15.056658724844793
0.0421052631578947,0.4210526315789473,15.056658724844793
0.0473684210526315,0.4736842105263157,15.056658724844793
0.0526315789473684,0.5263157894736842,15.056658724844793
0.0578947368421052,0.5789473684210527,15.056658724844793
0.0631578947368421,0.631578947368421,15.056658724844793
0.0684210526315789,0.6842105263157894,15.056658724844793
0.0736842105263157,0.7368421052631579,15.056658724844793
0.0789473684210526,0.7894736842105263,15.056658724844793
0.0842105263157894,0.8421052631578947,15.056658724844793
0.0894736842105263,0.894736842105263,15.056658724844793
0.0947368421052631,0.9473684210526316,15.056658724844793
0.1,1.0,15.056658724844793
